CookerStat, GenerateAssetRegistry=0.027016, Initialize=0.144497, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
SavePackageTransactionIdAC79C9754F7606D961DE1AAA452F82C1_0, Filename=../../../../../../Users/asus/Documents/Unreal Projects/Low_Poly_Tree/Content/Map/SC.umap, AutoPackageBackupDelegate=12.002971, FlushAsyncLoading=0.011723, FlushStreamingFunc=0.101171, BlockTillAllRequestsFinished=0.004843, ResetLoadersForSaveUnMarkAllObjects=3.242910, TagPackageExports=4.098173, BeginCacheForCookedPlatformData=0.003058, SerializeImports=5.872153, GatherLocalizableTextData=69.672997, MarkNames=1.060411, SerializeSummary=0.027779, SerializeNames=0.678651, SerializeGatherableTextData=0.014272, BuildExportMap=1.461029, SortExportsNonSeekfree=2.265833, SortExportsSeekfreeConstructor=0.084862, SortExportsSeekfreeInner=29.131655, SortExportsSeekfree=0.007134, BuildDependencyMap=0.282623, SerializeImportMap=0.105251, SerializeExportMap=0.083845, SerializeDependencyMap=0.021916, SerializeStringAssetReferenceMap=0.003058, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.935042, SerializeExports=22.480183, SerializeBulkData=5.260270, MoveFile=3.764831, UnaccountedTime=1.679435, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_5, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7A0996C74ECEEBADD978959746D8C639, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.133540, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_5, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_D935C9F1633D1EB93A7A1E994561042B, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.129208, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_5, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_BB9F76C9447659B624C7B1B110DB627A, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.092000, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId4E73053844ECD0CDF5C1548C1F10D458_1, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_ECA9935612651BF4EBD026D2D37994F0, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.098370, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId769038E247FCD52B99F0B39EE1717CD4_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_546765804940C89DE818BF83F54C1CDD, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.092000, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdC811C1BD4B4D2E764E6B22A56C675EC3_6, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_7A758B90BDE22050B2A04B624C655D36, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.085883, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId7F048AA24EA4C1CE607ABBBDDD103E0A_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_95BC287B41AD935A867841AFD1F01677, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.095058, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdE9AA0BC54FFB71B685809EA63566DD9F_6, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_757EB15C38682E53C9FDCA73DF1DBDF2, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.093020, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionIdDF5FA2C74E36CCF80AFDEB99466BE9A2_6, PutCachedData=, CacheKey=PhysXPC_VIS_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_9DE2AB2E429D4374ABA891942F7C04FE, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.092506, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
DDCTransactionId4E73053844ECD0CDF5C1548C1F10D458_2, PutCachedData=, CacheKey=PhysXPC_FULL_5DF9E1AAB7CC4DCCB2965BA1A78DFE8_80C073A1F07E414002CC520B5A18A401, StartTime=2016.10.26-21.07.00, HierarchicalDDC=, DataSize=4198, Duration=0.098880, RunGuid=RunID1B3096064AEDCDE7D9EB8FA34307406F
